game_name,percent_positive_reviews,genre,Action,Adventure,Casual,Design_and_Illustration,Early_Access,Free_to_Play,Indie,Massively_Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
SUPREME COMMANDER,87.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SUPREME COMMANDER: FORGED ALLIANCE,97.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"WARHAMMER® 40,000: DAWN OF WAR® - SOULSTORM",94.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FRONTLINES™: FUEL OF WAR™,62.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAINTS ROW 2,77.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GISH,63.0,Indie,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACT OF WAR: HIGH TREASON,81.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEATH TO SPIES,75.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
CHAMPIONS ONLINE,72.0,"Free to Play,Massively Multiplayer,RPG",0,0,0,0,0,1,0,1,1,0,0,0,0,0
STAR TREK ONLINE,76.0,"Free to Play,Massively Multiplayer,RPG",0,0,0,0,0,1,0,1,1,0,0,0,0,0
BLADE KITTEN,83.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
CALL OF DUTY: WORLD AT WAR,93.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KING'S QUEST™ COLLECTION,80.0,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPACE QUEST™ COLLECTION,77.0,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TIMESHIFT™,80.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PROTOTYPE™,80.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
CALL OF DUTY®: MODERN WARFARE® 2,91.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
POSTAL III,37.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DISCIPLES III: REINCARNATION,71.0,"RPG,Strategy",0,0,0,0,0,0,0,0,1,0,0,0,1,0
TOTAL WAR: EMPIRE – DEFINITIVE EDITION,90.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALIENS VS. PREDATOR™,89.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRACKMANIA NATIONS FOREVER,87.0,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SHERLOCK HOLMES - NEMESIS,73.0,"Adventure,RPG",0,1,0,0,0,0,0,0,1,0,0,0,0,0
SHERLOCK HOLMES: THE AWAKENED - REMASTERED EDITION,78.0,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SHERLOCK HOLMES VERSUS JACK THE RIPPER,76.0,"Adventure,RPG",0,1,0,0,0,0,0,0,1,0,0,0,0,0
SHADOWGROUNDS SURVIVOR,58.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GUMBOY TOURNAMENT,71.0,"Casual,Indie,Racing",0,0,1,0,0,0,1,0,0,1,0,0,0,0
SPACE TRADER: MERCHANT MARINE,49.0,"Action,Indie,Strategy",1,0,0,0,0,0,1,0,0,0,0,0,1,0
PENGUINS ARENA: SEDNA'S WORLD,87.0,"Action,Casual,Indie",1,0,1,0,0,0,1,0,0,0,0,0,0,0
LARVA MORTUS,76.0,"Action,Indie",1,0,0,0,0,0,1,0,0,0,0,0,0,0
CHAINS,75.0,Indie,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERLORD™,93.0,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SOLDIERS: HEROES OF WORLD WAR II,82.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL TYCOON,37.0,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GRAND THEFT AUTO III,86.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND THEFT AUTO: VICE CITY,92.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND THEFT AUTO: SAN ANDREAS,89.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MANHUNT,65.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX PAYNE,90.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX PAYNE 2: THE FALL OF MAX PAYNE,94.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BULLY: SCHOLARSHIP EDITION,83.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
GRAND THEFT AUTO IV,65.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
GRAND THEFT AUTO: EPISODES FROM LIBERTY CITY,73.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DARKSTAR ONE,81.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FLATOUT: ULTIMATE CARNAGE,83.0,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PORT ROYALE 2,65.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PUZZLEQUEST: CHALLENGE OF THE WARLORDS,88.0,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18 WHEELS OF STEEL: AMERICAN LONG HAUL,69.0,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DRAKENSANG,77.0,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OVERLORD™: RAISING HELL,93.0,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RISE OF THE ARGONAUTS,67.0,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OVERLORD II,87.0,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OPERATION FLASHPOINT: DRAGON RISING,64.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNREAL 2: THE AWAKENING,71.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNREAL TOURNAMENT 3 BLACK,90.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNREAL TOURNAMENT 2004: EDITOR'S CHOICE EDITION,97.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNREAL TOURNAMENT: GAME OF THE YEAR EDITION,97.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCE OF PERSIA: WARRIOR WITHIN™,87.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
FAR CRY®,84.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCE OF PERSIA: THE TWO THRONES™,77.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S RAINBOW SIX® VEGAS,78.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S SPLINTER CELL®,86.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S SPLINTER CELL CHAOS THEORY®,93.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S SPLINTER CELL DOUBLE AGENT®,44.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCE OF PERSIA®: THE SANDS OF TIME,87.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
RAYMAN RAVING RABBIDS™,75.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
ASSASSIN'S CREED™: DIRECTOR'S CUT EDITION,83.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S RAINBOW SIX® VEGAS 2,85.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BEYOND GOOD AND EVIL™,91.0,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
